seasonType,year,league,teamId,athleteId,appearances_value,subIns_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,timestamp
12673,2024,NED.1,5291,4804,24,5,13,7,0,0,1,1,0,1,9,0,0,12,35,2025-05-13 04:46:40
12673,2024,NED.1,2727,67334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,151,69579,2,2,3,1,1,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:45
12673,2024,NED.1,139,78836,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2024-08-31 04:53:11
12673,2024,NED.1,153,83494,20,7,14,31,5,0,0,3,0,16,48,7,0,0,13,2025-05-13 04:46:41
12673,2024,NED.1,139,83802,22,0,0,2,0,0,1,1,2,1,1,0,214,61,20,2025-05-13 04:46:40
12673,2024,NED.1,2727,84843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:19
12673,2024,NED.1,148,103485,25,6,15,6,4,0,0,8,3,15,35,8,0,2,29,2025-05-13 04:46:44
12673,2024,NED.1,155,105351,20,14,10,7,3,1,0,0,1,7,15,2,0,2,18,2025-05-13 04:46:45
12673,2024,NED.1,2727,121850,23,0,11,15,3,0,0,2,6,0,8,0,0,13,54,2024-07-13 02:53:19
12673,2024,NED.1,156,122636,28,15,46,25,6,1,0,1,0,10,28,3,0,3,24,2025-05-13 04:46:46
12673,2024,NED.1,147,122954,13,5,14,6,3,0,0,0,2,8,23,2,0,1,11,2025-05-13 04:46:43
12673,2024,NED.1,152,124932,24,10,38,20,3,0,0,1,2,17,32,6,0,7,21,2025-05-13 04:46:41
12673,2024,NED.1,152,125136,2,0,0,0,0,0,0,0,0,0,0,0,23,8,8,2025-05-13 04:46:41
12673,2024,NED.1,147,125165,16,14,4,3,1,1,0,0,0,1,2,0,0,3,6,2025-05-13 04:46:43
12673,2024,NED.1,155,125279,16,7,5,9,1,1,0,0,1,0,2,0,0,4,24,2025-05-13 04:46:45
12673,2024,NED.1,3708,126248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:43
12673,2024,NED.1,2565,127053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:44
12673,2024,NED.1,139,127262,26,7,11,5,5,0,0,4,9,1,10,0,0,7,20,2025-05-13 04:46:40
12673,2024,NED.1,148,127420,29,2,11,19,3,0,0,7,1,25,87,13,0,4,30,2025-05-13 04:46:44
12673,2024,NED.1,154,127444,34,0,1,2,1,0,0,0,4,0,0,0,449,151,73,2024-07-13 02:53:13
12673,2024,NED.1,142,129285,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,140,130177,6,0,0,0,0,0,0,0,0,0,0,0,46,10,2,2025-05-13 04:46:39
12673,2024,NED.1,153,131354,31,0,18,11,2,1,0,1,1,7,14,3,0,31,42,2025-05-13 04:46:41
12673,2024,NED.1,143,132666,29,1,19,10,3,0,0,2,2,0,3,0,0,6,40,2025-05-13 04:46:42
12673,2024,NED.1,2565,134515,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-24 04:48:32
12673,2024,NED.1,154,137087,2,1,2,0,0,0,0,0,0,0,0,0,0,2,1,2024-07-13 02:53:13
12673,2024,NED.1,141,137780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:43
12673,2024,NED.1,145,138664,29,6,18,9,7,0,1,3,2,10,35,4,0,9,35,2025-05-13 04:46:40
12673,2024,NED.1,151,138746,19,0,14,4,4,0,0,0,1,0,17,0,0,5,19,2025-05-13 04:46:45
12673,2024,NED.1,155,139579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:45
12673,2024,NED.1,147,140350,26,6,14,9,4,0,0,0,0,5,13,1,0,15,27,2025-05-13 04:46:43
12673,2024,NED.1,153,142517,29,13,11,6,0,0,1,5,1,8,26,1,0,1,18,2025-05-13 04:46:41
12673,2024,NED.1,154,146519,30,7,27,24,2,1,0,2,4,15,57,7,0,5,43,2024-07-13 02:53:13
12673,2024,NED.1,154,147064,27,3,27,13,2,1,0,1,4,2,6,1,0,19,58,2024-07-13 02:53:13
12673,2024,NED.1,152,148868,30,0,0,2,0,0,0,0,1,0,0,0,269,61,36,2025-05-13 04:46:41
12673,2024,NED.1,140,149301,10,4,8,6,1,0,0,0,2,0,3,0,0,1,10,2025-05-13 04:46:39
12673,2024,NED.1,139,149577,24,9,10,9,2,0,0,4,2,8,31,2,0,1,14,2025-05-13 04:46:40
12673,2024,NED.1,142,149904,17,3,21,8,5,0,0,0,0,1,10,0,0,15,20,2025-05-13 04:46:41
12673,2024,NED.1,140,150166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:39
12673,2024,NED.1,156,150194,16,0,6,6,2,0,0,0,3,1,4,0,0,18,32,2025-05-13 04:46:46
12673,2024,NED.1,140,150199,23,3,15,14,3,0,0,2,4,1,11,0,0,2,17,2025-05-13 04:46:39
12673,2024,NED.1,142,151053,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:50
12673,2024,NED.1,143,151900,6,0,0,0,3,0,0,0,1,0,0,0,71,19,15,2025-05-13 04:46:42
12673,2024,NED.1,3708,152154,20,8,21,20,5,0,0,2,3,7,23,3,0,1,18,2025-05-13 04:46:43
12673,2024,NED.1,3706,153764,30,2,15,6,4,1,1,0,3,4,18,2,0,40,39,2025-05-13 04:46:42
12673,2024,NED.1,143,155965,26,0,0,3,1,0,0,0,3,0,0,0,289,85,38,2025-05-13 04:46:42
12673,2024,NED.1,2565,156146,16,8,11,11,3,0,0,2,3,1,1,0,0,3,11,2025-05-13 04:46:44
12673,2024,NED.1,2566,157478,7,7,2,2,1,0,0,0,0,0,1,0,0,0,3,2024-07-13 02:53:18
12673,2024,NED.1,153,158143,30,1,21,22,5,0,0,2,5,7,20,3,0,12,36,2025-05-13 04:46:41
12673,2024,NED.1,5291,158147,3,2,3,0,0,0,0,0,0,0,0,0,0,0,6,2025-05-13 04:46:40
12673,2024,NED.1,139,158174,9,0,0,0,0,0,0,1,1,0,0,0,83,16,9,2025-05-13 04:46:40
12673,2024,NED.1,141,159244,17,10,2,8,0,0,0,0,0,1,2,0,0,10,17,2025-05-13 04:46:43
12673,2024,NED.1,156,161822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-08-23 04:46:29
12673,2024,NED.1,143,163790,14,12,10,8,3,0,0,0,1,2,5,0,0,0,4,2025-01-04 05:39:26
12673,2024,NED.1,153,164171,15,1,17,25,0,0,0,2,2,14,29,4,0,1,16,2025-05-13 04:46:41
12673,2024,NED.1,145,164264,12,3,9,4,0,0,0,2,1,7,10,2,0,0,11,2025-05-13 04:46:40
12673,2024,NED.1,2727,164393,23,4,8,7,0,1,0,1,1,21,41,8,0,0,41,2024-07-13 02:53:19
12673,2024,NED.1,141,164865,1,0,1,0,1,0,0,0,0,0,0,0,7,1,3,2025-05-13 04:46:43
12673,2024,NED.1,139,168993,29,6,18,17,0,0,0,2,3,12,21,8,0,14,20,2025-05-13 04:46:40
12673,2024,NED.1,139,169661,30,11,20,31,1,0,0,4,2,18,61,6,0,0,14,2025-05-13 04:46:40
12673,2024,NED.1,146,175013,18,0,1,3,1,0,1,0,2,1,1,0,175,69,32,2025-05-13 04:46:42
12673,2024,NED.1,143,175014,24,5,22,20,2,1,0,3,1,1,2,0,0,2,30,2025-05-13 04:46:42
12673,2024,NED.1,2566,175087,22,5,6,1,2,0,0,0,0,1,1,1,0,8,37,2024-07-13 02:53:18
12673,2024,NED.1,153,177022,2,0,0,0,0,0,0,0,1,0,0,0,31,8,1,2025-05-13 04:46:41
12673,2024,NED.1,139,177042,22,13,12,23,2,0,0,2,1,13,33,8,0,2,14,2025-05-13 04:46:40
12673,2024,NED.1,5291,178324,27,4,14,7,5,0,0,3,6,6,38,0,0,4,33,2025-05-13 04:46:40
12673,2024,NED.1,145,179131,13,12,1,3,0,0,0,1,0,0,1,0,0,1,8,2025-01-28 15:04:29
12673,2024,NED.1,145,179181,24,4,14,36,7,1,0,2,2,0,4,0,0,13,28,2025-05-13 04:46:40
12673,2024,NED.1,143,179195,27,4,8,24,2,0,0,3,3,9,42,2,0,0,34,2025-05-13 04:46:42
12673,2024,NED.1,139,181092,16,7,6,22,0,0,0,1,0,8,22,3,0,0,9,2025-02-03 14:48:18
12673,2024,NED.1,139,181673,15,8,10,2,1,0,0,0,2,0,7,0,0,3,2,2025-05-13 04:46:40
12673,2024,NED.1,142,182424,28,0,0,4,2,0,0,1,2,0,0,0,241,70,28,2025-05-13 04:46:41
12673,2024,NED.1,148,184825,2,2,0,0,0,0,0,0,1,0,1,0,0,0,1,2025-05-13 04:46:44
12673,2024,NED.1,5291,185455,16,11,3,5,0,1,0,0,0,3,12,1,0,1,9,2025-05-13 04:46:40
12673,2024,NED.1,146,188055,19,3,19,20,3,0,0,2,5,11,43,3,0,1,23,2025-05-13 04:46:42
12673,2024,NED.1,156,188221,32,0,2,1,2,0,0,0,6,0,0,0,500,124,50,2025-05-13 04:46:46
12673,2024,NED.1,140,188411,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-09-12 04:51:54
12673,2024,NED.1,155,188428,5,5,2,1,0,0,0,0,0,0,2,0,0,0,3,2025-05-13 04:46:45
12673,2024,NED.1,152,188458,28,10,14,19,2,1,0,3,3,3,13,3,0,12,23,2025-05-13 04:46:41
12673,2024,NED.1,142,189777,19,5,7,9,1,0,0,3,0,1,10,0,0,4,15,2025-05-13 04:46:41
12673,2024,NED.1,155,190414,24,0,0,3,0,0,0,0,8,0,0,0,355,89,46,2025-05-13 04:46:45
12673,2024,NED.1,2566,190921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:18
12673,2024,NED.1,151,190976,32,0,0,3,2,0,0,1,3,0,0,0,387,98,37,2025-05-13 04:46:45
12673,2024,NED.1,146,190983,14,0,1,2,1,0,0,0,3,0,0,0,153,40,22,2025-05-13 04:46:42
12673,2024,NED.1,143,190986,2,1,2,0,1,0,0,0,1,0,0,0,0,1,2,2025-05-13 04:46:42
12673,2024,NED.1,141,190996,26,6,15,6,4,0,0,4,0,9,24,3,0,6,22,2025-05-13 04:46:43
12673,2024,NED.1,145,191304,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,2025-05-13 04:46:40
12673,2024,NED.1,146,192256,13,0,8,7,3,0,0,0,3,3,8,0,0,11,23,2025-05-13 04:46:42
12673,2024,NED.1,3708,193763,32,0,28,10,3,0,0,0,4,5,23,2,0,30,52,2025-05-13 04:46:43
12673,2024,NED.1,146,195028,3,3,3,0,1,0,0,0,0,0,0,0,0,0,2,2025-05-13 04:46:42
12673,2024,NED.1,3706,195502,17,15,7,3,1,0,0,1,0,5,10,2,0,0,5,2025-05-13 04:46:42
12673,2024,NED.1,5291,195601,7,7,2,1,0,0,0,0,1,0,0,0,0,0,3,2025-05-13 04:46:40
12673,2024,NED.1,148,195738,32,0,0,2,0,0,0,0,0,0,0,0,235,63,37,2025-05-13 04:46:44
12673,2024,NED.1,2565,195913,4,0,0,0,0,0,0,0,0,0,0,0,55,10,6,2025-05-13 04:46:44
12673,2024,NED.1,139,196234,12,5,7,4,0,0,0,0,2,4,11,0,0,4,5,2025-05-13 04:46:40
12673,2024,NED.1,143,196353,28,7,24,13,5,0,0,2,4,11,43,7,0,2,31,2025-05-13 04:46:42
12673,2024,NED.1,147,196688,2,0,0,1,0,0,0,0,0,0,0,0,35,11,4,2025-05-13 04:46:43
12673,2024,NED.1,148,200161,9,7,4,8,0,0,0,2,0,6,15,4,0,0,3,2025-01-08 05:39:05
12673,2024,NED.1,147,200194,24,3,29,20,6,1,0,4,2,17,33,9,0,7,29,2025-05-13 04:46:43
12673,2024,NED.1,2727,202224,25,0,5,42,3,0,0,8,2,5,27,2,0,0,59,2024-07-13 02:53:19
12673,2024,NED.1,5291,205501,10,4,5,7,1,0,0,0,0,1,5,1,0,3,16,2025-05-13 04:46:40
12673,2024,NED.1,148,205614,12,5,9,1,1,0,0,2,2,0,1,0,0,2,7,2025-05-13 04:46:44
12673,2024,NED.1,142,205653,4,0,0,0,0,0,0,0,0,0,0,0,37,8,8,2025-05-13 04:46:41
12673,2024,NED.1,3708,205952,29,6,30,37,2,0,0,4,3,10,34,3,0,0,38,2025-05-13 04:46:43
12673,2024,NED.1,155,206463,25,2,22,9,2,1,0,0,0,30,64,9,0,2,39,2025-05-13 04:46:45
12673,2024,NED.1,139,207542,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2024-09-04 04:53:00
12673,2024,NED.1,148,207780,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:44
12673,2024,NED.1,143,210810,23,10,7,12,0,0,0,2,0,2,9,0,0,1,28,2025-05-13 04:46:42
12673,2024,NED.1,155,212346,3,0,0,0,0,0,0,0,0,0,0,0,51,18,9,2025-05-13 04:46:45
12673,2024,NED.1,143,214186,18,5,25,19,5,0,0,1,0,10,24,4,0,0,25,2025-05-13 04:46:42
12673,2024,NED.1,155,214533,14,1,5,1,1,0,0,0,3,1,7,0,0,7,28,2025-05-13 04:46:45
12673,2024,NED.1,151,214666,20,0,37,12,3,0,1,2,2,12,44,1,0,2,23,2025-01-28 15:04:34
12673,2024,NED.1,152,214666,32,11,43,13,5,0,1,2,3,13,53,1,0,3,28,2025-05-13 04:46:41
12673,2024,NED.1,2565,215159,16,5,11,12,1,1,0,2,0,10,35,2,0,1,18,2025-05-13 04:46:44
12673,2024,NED.1,142,215172,10,4,10,5,2,0,0,1,0,2,2,0,0,3,6,2025-05-13 04:46:41
12673,2024,NED.1,2727,215281,14,4,6,2,1,0,0,1,0,1,3,0,0,0,20,2024-07-13 02:53:19
12673,2024,NED.1,156,215449,17,10,6,13,0,0,0,1,0,5,15,1,0,1,15,2025-05-13 04:46:46
12673,2024,NED.1,148,216017,28,0,13,23,1,0,0,5,13,4,17,1,0,15,26,2025-05-13 04:46:44
12673,2024,NED.1,5291,216122,24,3,4,1,1,0,0,1,0,0,5,0,0,4,33,2025-05-13 04:46:40
12673,2024,NED.1,5291,217119,30,0,28,14,4,0,0,2,2,12,47,1,0,4,44,2025-05-13 04:46:40
12673,2024,NED.1,147,217381,31,2,25,7,9,0,1,1,5,5,23,1,0,10,38,2025-05-13 04:46:43
12673,2024,NED.1,3706,218424,32,0,23,18,2,0,0,0,4,6,26,0,0,29,49,2025-05-13 04:46:42
12673,2024,NED.1,146,218528,22,1,32,16,5,0,0,2,3,11,26,3,0,3,31,2025-05-13 04:46:42
12673,2024,NED.1,3706,218529,32,0,34,57,2,0,0,1,5,10,31,4,0,17,49,2025-05-13 04:46:42
12673,2024,NED.1,154,218703,30,5,29,18,4,0,0,4,2,2,11,0,0,3,51,2024-07-13 02:53:13
12673,2024,NED.1,151,218947,30,11,24,14,6,0,0,4,3,4,16,2,0,10,21,2025-05-13 04:46:45
12673,2024,NED.1,141,221227,22,8,10,20,1,0,1,0,4,2,11,0,0,9,19,2025-05-13 04:46:43
12673,2024,NED.1,152,221718,32,3,18,21,3,0,0,7,9,12,48,4,0,9,37,2025-05-13 04:46:41
12673,2024,NED.1,145,222236,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,2024-08-23 04:46:23
12673,2024,NED.1,141,222274,9,1,10,8,0,1,0,0,1,0,3,0,0,8,15,2025-05-13 04:46:43
12673,2024,NED.1,146,222614,14,6,6,6,1,0,0,1,0,0,3,0,0,3,15,2025-05-13 04:46:42
12673,2024,NED.1,151,223138,31,1,17,48,2,0,0,2,3,33,91,9,0,4,33,2025-05-13 04:46:45
12673,2024,NED.1,153,223162,30,0,0,3,1,0,0,0,6,0,0,0,319,97,42,2025-05-13 04:46:41
12673,2024,NED.1,155,223258,27,5,30,16,2,0,0,0,5,1,7,0,0,18,47,2025-05-13 04:46:45
12673,2024,NED.1,147,223312,27,10,18,5,1,0,1,6,3,8,30,2,0,6,18,2025-05-13 04:46:43
12673,2024,NED.1,155,223765,17,9,11,11,3,0,0,1,0,9,22,4,0,2,18,2025-05-13 04:46:45
12673,2024,NED.1,152,224042,21,2,12,8,0,0,0,1,2,22,53,7,0,0,17,2025-05-13 04:46:41
12673,2024,NED.1,2565,224786,22,1,15,16,3,0,0,1,0,0,6,0,0,9,28,2025-05-13 04:46:44
12673,2024,NED.1,5291,224786,2,0,4,0,1,0,0,0,0,0,0,0,0,3,4,2024-08-27 04:49:43
12673,2024,NED.1,146,225574,26,0,26,23,2,1,0,5,2,0,7,0,0,9,46,2025-05-13 04:46:42
12673,2024,NED.1,154,225579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-13 02:53:13
12673,2024,NED.1,155,226119,16,7,4,6,0,0,0,0,1,5,14,3,0,0,15,2025-05-13 04:46:45
12673,2024,NED.1,142,226979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:41
12673,2024,NED.1,156,227279,24,6,6,9,0,0,0,3,1,2,5,0,0,4,20,2025-05-13 04:46:46
12673,2024,NED.1,145,227420,31,0,0,9,4,0,0,0,4,0,1,0,339,92,46,2025-05-13 04:46:40
12673,2024,NED.1,2565,227441,26,3,35,49,5,0,0,2,1,7,16,2,0,2,37,2025-05-13 04:46:44
12673,2024,NED.1,142,228334,13,8,3,8,0,0,0,0,1,3,10,1,0,2,5,2025-05-13 04:46:41
12673,2024,NED.1,2727,229058,24,4,9,15,3,0,0,0,1,1,6,0,0,6,43,2024-07-13 02:53:19
12673,2024,NED.1,3708,230584,9,6,7,6,1,0,0,0,0,0,8,0,0,1,9,2025-05-13 04:46:43
12673,2024,NED.1,151,231832,27,6,5,12,0,0,0,2,2,20,46,3,0,1,21,2025-05-13 04:46:45
12673,2024,NED.1,152,231832,15,6,1,6,0,0,0,0,0,9,19,0,0,0,14,2025-02-01 14:47:46
12673,2024,NED.1,3708,234375,9,8,4,1,0,0,0,0,0,2,4,2,0,1,6,2025-05-13 04:46:43
12673,2024,NED.1,145,236162,20,0,10,14,0,0,0,0,2,8,29,0,0,5,25,2025-02-13 05:47:26
12673,2024,NED.1,147,238016,24,4,9,19,1,0,0,1,0,17,54,7,0,0,20,2025-05-13 04:46:43
12673,2024,NED.1,141,238116,31,3,17,14,0,0,0,1,2,16,55,7,0,3,36,2025-05-13 04:46:43
12673,2024,NED.1,156,238796,24,2,26,20,4,0,0,2,2,2,7,1,0,8,30,2025-05-13 04:46:46
12673,2024,NED.1,142,238878,6,0,4,10,0,0,0,1,2,2,8,1,0,3,6,2025-05-13 04:46:41
12673,2024,NED.1,151,238920,28,11,13,7,2,0,0,3,4,8,25,3,0,5,11,2025-05-13 04:46:45
12673,2024,NED.1,152,238920,16,10,7,3,2,0,0,0,2,4,11,2,0,0,3,2025-01-18 05:33:54
12673,2024,NED.1,2565,239353,27,17,16,15,1,0,0,2,2,7,26,1,0,1,17,2025-05-13 04:46:44
12673,2024,NED.1,2566,239401,28,8,9,20,3,1,0,5,4,16,49,6,0,0,39,2024-07-13 02:53:18
12673,2024,NED.1,146,239685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-05-13 04:46:42
12673,2024,NED.1,2566,239686,5,2,7,1,0,0,0,0,0,2,3,1,0,1,8,2024-07-13 02:53:18
12673,2024,NED.1,148,239998,18,3,11,15,1,0,0,2,1,4,7,1,0,3,19,2025-05-13 04:46:44
12673,2024,NED.1,147,239999,17,0,11,10,1,0,0,0,3,0,5,0,0,10,20,2025-05-13 04:46:43
12673,2024,NED.1,153,240351,29,3,12,5,1,0,0,4,2,3,8,1,0,11,28,2025-05-13 04:46:41
12673,2024,NED.1,5291,240532,11,11,1,5,1,0,0,0,0,0,1,0,0,3,2,2025-05-13 04:46:40
12673,2024,NED.1,141,240613,3,2,1,1,0,0,0,0,0,0,2,0,0,0,4,2025-05-13 04:46:43
12673,2024,NED.1,148,240660,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,2024-08-29 04:53:54
12673,2024,NED.1,154,240737,23,0,17,9,2,0,0,2,2,2,12,1,0,6,40,2024-07-13 02:53:13
12673,2024,NED.1,142,240911,23,10,6,7,0,0,0,3,4,3,8,0,0,3,18,2025-05-13 04:46:41
12673,2024,NED.1,148,240912,25,5,15,7,3,0,0,8,4,12,28,1,0,7,23,2025-05-13 04:46:44
12673,2024,NED.1,148,240965,30,7,22,20,2,0,0,10,1,32,60,10,0,4,26,2025-05-13 04:46:44
12673,2024,NED.1,155,241019,9,7,2,1,1,0,0,0,0,2,5,0,0,0,5,2025-02-01 14:47:49
12673,2024,NED.1,139,241392,8,6,4,5,2,0,0,0,0,1,2,0,0,0,4,2025-05-13 04:46:40
12673,2024,NED.1,146,241526,28,2,12,12,2,0,0,1,0,4,11,1,0,21,45,2025-05-13 04:46:42
12673,2024,NED.1,140,243560,15,9,14,9,4,0,0,0,4,5,9,1,0,6,11,2025-05-13 04:46:39
12673,2024,NED.1,146,244679,6,5,1,3,0,0,0,0,0,0,0,0,0,0,3,2025-05-13 04:46:42
12673,2024,NED.1,146,245883,12,3,16,5,1,0,0,1,1,4,12,1,0,0,16,2025-01-24 16:55:24
12673,2024,NED.1,148,245918,12,8,3,0,1,0,0,0,2,3,4,1,0,7,9,2025-05-13 04:46:44
12673,2024,NED.1,142,248677,10,5,9,5,1,0,0,3,2,2,10,1,0,0,7,2025-05-13 04:46:41
12673,2024,NED.1,152,249525,19,3,16,23,3,0,0,4,3,2,5,2,0,9,23,2025-05-13 04:46:41
12673,2024,NED.1,143,250529,9,3,6,7,1,0,0,1,0,1,6,1,0,1,11,2025-05-13 04:46:42
12673,2024,NED.1,147,250659,26,4,27,13,4,0,1,0,1,4,14,2,0,18,24,2025-05-13 04:46:43
12673,2024,NED.1,146,251063,16,15,9,9,0,0,0,2,0,0,3,0,0,1,10,2025-05-13 04:46:42
